item_number,source_number_in_text,english_gloss,phonetic_form,phonemic_form,alignment_note
359,357,Sister-in-law,[òtùmà gwórómá àgwá gwà],/òróm gwó re-bàn/,
360,358,Son-in-law,[gwà gwór má  ókpókpó],/gwa gwo-re-ban/,
361,359,Daughter-in-law,[òróm gwógwá ókpókpó],/àsà/,
362,360,Widow,[gwan gwe ete ara mma okpe kpe],/rètɔ  rókpá/,
363,361,Widower,[òróm gwó re-bàn],/wàtùm-à-bànɔ /,
364,362,Orphan,[gwa gwo-re-ban],/òrɔ màkùm/,
365,363,Fiancé (betrothed boyfriend),[àsà],/ɔ nɔ  –ísó/,
366,364,Fiancée (betrothed girlfriend),[rètɔ  rókpá],/ɔ nɔ  –ísófìò/,
367,365,"Tribe, ethic",[wàtùm-à-bànɔ ],/ɔ nɔ  gwà pá wè/,
368,366,Clan,[òrɔ màkùm],/óhàn/,
369,367,Family,[ɔ nɔ -ísó],/óhàn/,
370,368,Friend,[ɔ nɔ  -ísófìò],/ɔ nɔ  àrɔ kɔ /,
371,369,Neighbor,[ɔ nɔ  gwà pá wè],/ɔ nɔ  àrɔ kɔ /,
372,370,Acquaintance,[óhàn],/ónósù/,
373,371,Host,[óhàn],/rú kpèmè/,
374,372,"Guest, visitor",[ɔ nɔ  àrɔ kɔ ],/óté ɔ tóm/,
375,373,Stranger (unknown person),[ɔ nɔ  àrɔ kɔ ],/bánɔ /,
376,374,Enemy,[ónósù],/ɔ vàí/,
377,375,Traitor,[rú kpèmè],/ɔ nɔ  tùm/,
378,376,Thief,[óté ɔ tóm],/ómórètó/,
379,377,Guide (n),[bhánɔ ],/òzìzà/,
380,378,Messenger,[ɔ vàí],/ɔ mé –ìmé/,
381,379,Crowd,[ɔ nɔ  tùm],/ɔ mé –véré/,
382,380,"Chief, headman",[ómórètó],/ɔ mé –òyòm/,
383,381,Elder,[òzìzà],/òsùrákà/,
384,382,Master,[ɔ mé-ìmé],/òvòp íkò/,
385,383,Slave,[ɔ mé -véré],/ɔ nánɔ /,
386,384,Farmer,[ɔ mé -òyòm],/òfè-eʒen /,
387,385,Fisherman,[òsùrákà],/òtám mévén/,
388,386,Hunter,[òvòp íkò],/gwàn énú/,
389,387,Blacksmith,[ɔ nánɔ ],/òkpànú kpàm/,
390,388,Potter,[òfè-eʒen / òfèʒèn],/ɔ dàròkpá/,
391,389,Weaver,[òtám mévén],/gwá-ɔ hɔ n/,
392,390,Butcher,[gwàn énú],/ɔ màrémárè/,
393,391,Trader,[òkpànú kpàm],/òbó/,
394,392,(domestic) servant,[ɔ dàròkpá],/òbó/,
395,393,Beggar,[gwá- ɔ hɔ n],/òbó/,
396,394,Soldier,[ɔ màrémárè],/ótánétáné/,
397,395,Prostitute,[òbó],/òbò-apípí/,
398,396,Midwife,[òbó],/ògbàgbà/,
399,397,"Medicine man, traditional healer",[òbó],/ìtúnénè/,
400,398,Fetish priest,[ótánétáné],/òvúnè/,
401,399,Sorcerer (male),[òbò-apípí],/réβóhá/,
402,400,Witch,[ògbàgbà],/èfé/,
403,401,"Fortune teller, diviner",[ìtúnénè],/òvàsòtàrò/,
404,402,"Meet, encounter",[òvúnè],/ènɔ  ébɔ /,
405,403,Accompany,[réβóhá],/ókúβá/,
406,404,(be) together,[èfé],/ìtá ókpó/,
407,405,Invite,[òvàsòtàrò],/íβáβá/,
408,406,(be) alone,[ènɔ  ébɔ ],/óváváná/,
409,407,Abandon,[ókúβá],/óháhárá/,
410,408,"Flee, run away from",[ìtá ókpó],/rútìrá/,
411,409,Drive away,[íβáβá],/ràʒéb/,
412,410,Avoid,[óváváná],/ọbáná or ọβáná/,
413,411,(be) same,[óháhárá],/ópá/,
414,412,(be) different,[rútìrá],/rémọn/,
415,413,Resemble,[ràʒéb],/òwénínì/,
416,414,Imitate,[ọbáná or ọβáná],/tàá/,
417,415,Admire,[ópá],/rémón/,
418,416,"Befit, suit",[rémọn],/tàá /,
419,417,Language,[òwénínì],/ónúnúmá/,
420,418,Word,[tàá],/vùmá/,
421,419,Meaning,[rémón],/rátọng-ọsá/,
